,2017 NAICS Title,2017 NAICS Code,2012 NAICS Code,2007 NAICS Code,2002 NAICS Code,1997 NAICS Code
779,Business to Business Electronic Markets,425110,425110,425110,425110,422340
780,Business to Business Electronic Markets,425110,425110,425110,425110,422410
781,Business to Business Electronic Markets,425110,425110,425110,425110,422420
782,Business to Business Electronic Markets,425110,425110,425110,425110,422430
783,Business to Business Electronic Markets,425110,425110,425110,425110,422440
784,Business to Business Electronic Markets,425110,425110,425110,425110,422450
785,Business to Business Electronic Markets,425110,425110,425110,425110,422460
786,Business to Business Electronic Markets,425110,425110,425110,425110,422470
787,Business to Business Electronic Markets,425110,425110,425110,425110,422480
788,Business to Business Electronic Markets,425110,425110,425110,425110,422490
789,Business to Business Electronic Markets,425110,425110,425110,425110,422510
790,Business to Business Electronic Markets,425110,425110,425110,425110,422520
791,Business to Business Electronic Markets,425110,425110,425110,425110,422590
792,Business to Business Electronic Markets,425110,425110,425110,425110,422610
793,Business to Business Electronic Markets,425110,425110,425110,425110,422690
794,Business to Business Electronic Markets,425110,425110,425110,425110,422720
795,Business to Business Electronic Markets,425110,425110,425110,425110,422810
796,Business to Business Electronic Markets,425110,425110,425110,425110,422820
797,Business to Business Electronic Markets,425110,425110,425110,425110,422910
798,Business to Business Electronic Markets,425110,425110,425110,425110,422920
799,Business to Business Electronic Markets,425110,425110,425110,425110,422930
800,Business to Business Electronic Markets,425110,425110,425110,425110,422940
801,Business to Business Electronic Markets,425110,425110,425110,425110,422950
802,Business to Business Electronic Markets,425110,425110,425110,425110,422990
803,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421110
804,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421120
805,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421130
806,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421140
807,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421210
808,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421220
809,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421310
810,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421320
811,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421330
812,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421390
813,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421410
814,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421420
815,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421430
816,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421440
817,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421450
818,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421460
819,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421490
820,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421510
821,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421520
822,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421610
823,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421620
824,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421690
825,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421710
826,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421720
827,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421730
828,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421740
829,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421810
830,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421820
831,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421830
832,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421840
833,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421850
834,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421860
835,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421910
836,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421920
837,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421930
838,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421940
839,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,421990
840,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,422110
841,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,422120
842,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,422130
843,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,422210
844,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,422310
845,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,422320
846,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,422330
847,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,422340
848,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,422410
849,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,422420
850,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,422430
851,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,422440
852,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,422450
853,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,422460
854,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,422470
855,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,422480
856,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,422490
857,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,422510
858,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,422520
859,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,422590
860,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,422610
861,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,422690
862,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,422720
863,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,422810
864,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,422820
865,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,422910
866,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,422920
867,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,422930
868,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,422940
869,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,422950
870,Wholesale Trade Agents and Brokers,425120,425120,425120,425120,422990
871,New Car Dealers,441110,441110,441110,441110,441110
872,Used Car Dealers,441120,441120,441120,441120,441120
873,Recreational Vehicle Dealers,441210,441210,441210,441210,441210
874,Boat Dealers,441222,441222,441222,441222,441222
875,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",441228,441228,441221,441221,441221
876,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",441228,441228,441229,441229,441229
877,Automotive Parts and Accessories Stores,441310,441310,441310,441310,441310
878,Tire Dealers,441320,441320,441320,441320,441320
879,Furniture Stores,442110,442110,442110,442110,442110
880,Floor Covering Stores,442210,442210,442210,442210,442210
881,Window Treatment Stores,442291,442291,442291,442291,442291
882,All Other Home Furnishings Stores,442299,442299,442299,442299,442299
883,Household Appliance Stores,443141,443141,443111,443111,443111
884,Electronics Stores,443142,443142,443112,443112,443112
885,Electronics Stores,443142,443142,443120,443120,443120
886,Electronics Stores,443142,443142,443130,443130,443130
887,Electronics Stores,443142,443142,451220,451220,451220
888,Home Centers,444110,444110,444110,444110,444110
889,Paint and Wallpaper Stores,444120,444120,444120,444120,444120
890,Hardware Stores,444130,444130,444130,444130,444130
891,Other Building Material Dealers,444190,444190,444190,444190,444190
892,Outdoor Power Equipment Stores,444210,444210,444210,444210,444210
893,"Nursery, Garden Center, and Farm Supply Stores",444220,444220,444220,444220,444220
894,Supermarkets and Other Grocery (except Convenience) Stores,445110,445110,445110,445110,445110
895,Convenience Stores,445120,445120,445120,445120,445120
896,Meat Markets,445210,445210,445210,445210,445210
897,Fish and Seafood Markets,445220,445220,445220,445220,445220
898,Fruit and Vegetable Markets,445230,445230,445230,445230,445230
899,Baked Goods Stores,445291,445291,445291,445291,445291
900,Confectionery and Nut Stores,445292,445292,445292,445292,445292
901,All Other Specialty Food Stores,445299,445299,445299,445299,445299
902,"Beer, Wine, and Liquor Stores",445310,445310,445310,445310,445310
903,Pharmacies and Drug Stores,446110,446110,446110,446110,446110
904,"Cosmetics, Beauty Supplies, and Perfume Stores",446120,446120,446120,446120,446120
905,Optical Goods Stores,446130,446130,446130,446130,446130
906,Food (Health) Supplement Stores,446191,446191,446191,446191,446191
907,All Other Health and Personal Care Stores,446199,446199,446199,446199,446199
908,Gasoline Stations with Convenience Stores,447110,447110,447110,447110,447110
909,Other Gasoline Stations,447190,447190,447190,447190,447190
910,Men's Clothing Stores,448110,448110,448110,448110,448110
911,Women's Clothing Stores,448120,448120,448120,448120,448120
912,Children's and Infants' Clothing Stores,448130,448130,448130,448130,448130
913,Family Clothing Stores,448140,448140,448140,448140,448140
914,Clothing Accessories Stores,448150,448150,448150,448150,448150
915,Other Clothing Stores,448190,448190,448190,448190,448190
916,Shoe Stores,448210,448210,448210,448210,448210
917,Jewelry Stores,448310,448310,448310,448310,448310
918,Luggage and Leather Goods Stores,448320,448320,448320,448320,448320
919,Sporting Goods Stores,451110,451110,451110,451110,451110
920,"Hobby, Toy, and Game Stores",451120,451120,451120,451120,451120
921,"Sewing, Needlework, and Piece Goods Stores",451130,451130,451130,451130,451130
922,Musical Instrument and Supplies Stores,451140,451140,451140,451140,451140
923,Book Stores,451211,451211,451211,451211,451211
924,News Dealers and Newsstands,451212,451212,451212,451212,451212
925,Department Stores,452210,452111,452111,452111,452110
926,Department Stores,452210,452112,452112,452112,452110
927,Warehouse Clubs and Supercenters,452311,452112,452112,452112,452110
928,Warehouse Clubs and Supercenters,452311,452910,452910,452910,452910
929,All Other General Merchandise Stores,452319,452990,452990,452990,452990
930,Florists,453110,453110,453110,453110,453110
931,Office Supplies and Stationery Stores,453210,453210,453210,453210,453210
932,"Gift, Novelty, and Souvenir Stores",453220,453220,453220,453220,453220
933,Used Merchandise Stores,453310,453310,453310,453310,453310
934,Pet and Pet Supplies Stores,453910,453910,453910,453910,453910
935,Art Dealers,453920,453920,453920,453920,453920
936,Manufactured (Mobile) Home Dealers,453930,453930,453930,453930,453930
937,Tobacco Stores,453991,453991,453991,453991,453991
938,All Other Miscellaneous Store Retailers (except Tobacco Stores),453998,453998,453998,453998,453998
939,Electronic Shopping and Mail-Order Houses,454110,454111,454111,454111,454110
940,Electronic Shopping and Mail-Order Houses,454110,454112,454112,454112,454110
941,Electronic Shopping and Mail-Order Houses,454110,454113,454113,454113,454110
942,Vending Machine Operators,454210,454210,454210,454210,454210
943,Fuel Dealers,454310,454310,454311,454311,454311
944,Fuel Dealers,454310,454310,454312,454312,454312
945,Fuel Dealers,454310,454310,454319,454319,454319
946,Other Direct Selling Establishments,454390,454390,454390,454390,454390
947,Scheduled Passenger Air Transportation,481111,481111,481111,481111,481111
948,Scheduled Freight Air Transportation,481112,481112,481112,481112,481112
949,Nonscheduled Chartered Passenger Air Transportation,481211,481211,481211,481211,481211
950,Nonscheduled Chartered Freight Air Transportation,481212,481212,481212,481212,481212
951,Other Nonscheduled Air Transportation,481219,481219,481219,481219,481219
952,Line-Haul Railroads,482111,482111,482111,482111,482111
953,Short Line Railroads,482112,482112,482112,482112,482112
954,Deep Sea Freight Transportation,483111,483111,483111,483111,483111
955,Deep Sea Passenger Transportation,483112,483112,483112,483112,483112
956,Coastal and Great Lakes Freight Transportation,483113,483113,483113,483113,483113
957,Coastal and Great Lakes Passenger Transportation,483114,483114,483114,483114,483114
958,Inland Water Freight Transportation,483211,483211,483211,483211,483211
959,Inland Water Passenger Transportation,483212,483212,483212,483212,483212
960,"General Freight Trucking, Local",484110,484110,484110,484110,484110
961,"General Freight Trucking, Long-Distance, Truckload",484121,484121,484121,484121,484121
962,"General Freight Trucking, Long-Distance, Less Than Truckload",484122,484122,484122,484122,484122
963,Used Household and Office Goods Moving,484210,484210,484210,484210,484210
964,"Specialized Freight (except Used Goods) Trucking, Local",484220,484220,484220,484220,484220
965,"Specialized Freight (except Used Goods) Trucking, Long-Distance",484230,484230,484230,484230,484230
966,Mixed Mode Transit Systems,485111,485111,485111,485111,485111
967,Commuter Rail Systems,485112,485112,485112,485112,485112
968,Bus and Other Motor Vehicle Transit Systems,485113,485113,485113,485113,485113
969,Other Urban Transit Systems,485119,485119,485119,485119,485119
970,Interurban and Rural Bus Transportation,485210,485210,485210,485210,485210
971,Taxi Service,485310,485310,485310,485310,485310
972,Limousine Service,485320,485320,485320,485320,485320
973,School and Employee Bus Transportation,485410,485410,485410,485410,485410
974,Charter Bus Industry,485510,485510,485510,485510,485510
975,Special Needs Transportation,485991,485991,485991,485991,485991
976,All Other Transit and Ground Passenger Transportation,485999,485999,485999,485999,485999
977,Pipeline Transportation of Crude Oil,486110,486110,486110,486110,486110
978,Pipeline Transportation of Natural Gas,486210,486210,486210,486210,486210
979,Pipeline Transportation of Refined Petroleum Products,486910,486910,486910,486910,486910
980,All Other Pipeline Transportation,486990,486990,486990,486990,486990
981,"Scenic and Sightseeing Transportation, Land",487110,487110,487110,487110,487110
982,"Scenic and Sightseeing Transportation, Water",487210,487210,487210,487210,487210
983,"Scenic and Sightseeing Transportation, Other",487990,487990,487990,487990,487990
984,Air Traffic Control,488111,488111,488111,488111,488111
985,Other Airport Operations,488119,488119,488119,488119,488119
986,Other Support Activities for Air Transportation,488190,488190,488190,488190,488190
987,Support Activities for Rail Transportation,488210,488210,488210,488210,488210
988,Port and Harbor Operations,488310,488310,488310,488310,488310
989,Marine Cargo Handling,488320,488320,488320,488320,488320
990,Navigational Services to Shipping,488330,488330,488330,488330,488330
991,Other Support Activities for Water Transportation,488390,488390,488390,488390,488390
992,Motor Vehicle Towing,488410,488410,488410,488410,488410
993,Other Support Activities for Road Transportation,488490,488490,488490,488490,488490
994,Freight Transportation Arrangement,488510,488510,488510,488510,488510
995,Packing and Crating,488991,488991,488991,488991,488991
996,All Other Support Activities for Transportation,488999,488999,488999,488999,488999
997,Postal Service,491110,491110,491110,491110,491110
998,Couriers and Express Delivery Services,492110,492110,492110,492110,492110
999,Local Messengers and Local Delivery,492210,492210,492210,492210,492210
1000,General Warehousing and Storage,493110,493110,493110,493110,493110
1001,Refrigerated Warehousing and Storage,493120,493120,493120,493120,493120
1002,Farm Product Warehousing and Storage,493130,493130,493130,493130,493130
1003,Other Warehousing and Storage,493190,493190,493190,493190,493190
1004,Newspaper Publishers,511110,511110,511110,511110,511110
1005,Periodical Publishers,511120,511120,511120,511120,511120
1006,Book Publishers,511130,511130,511130,511130,511130
1007,Book Publishers,511130,511130,511130,511130,511199
1008,Directory and Mailing List Publishers,511140,511140,511140,511140,511140
1009,Greeting Card Publishers,511191,511191,511191,511191,511191
1010,All Other Publishers,511199,511199,511199,511199,511199
1011,Software Publishers,511210,511210,511210,511210,511210
1012,Motion Picture and Video Production,512110,512110,512110,512110,512110
1013,Motion Picture and Video Distribution,512120,512120,512120,512120,512120
1014,Motion Picture Theaters (except Drive-Ins),512131,512131,512131,512131,512131
1015,Drive-In Motion Picture Theaters,512132,512132,512132,512132,512132
1016,Teleproduction and Other Postproduction Services,512191,512191,512191,512191,512191
1017,Other Motion Picture and Video Industries,512199,512199,512199,512199,512199
1018,Music Publishers,512230,512230,512230,512230,512230
1019,Sound Recording Studios,512240,512240,512240,512240,512240
1020,Record Production and Distribution,512250,512210,512210,512210,512210
1021,Record Production and Distribution,512250,512220,512220,512220,512220
1022,Other Sound Recording Industries,512290,512290,512290,512290,512290
1023,Radio Networks,515111,515111,515111,515111,513111
1024,Radio Stations,515112,515112,515112,515112,513112
1025,Television Broadcasting,515120,515120,515120,515120,513120
1026,Cable and Other Subscription Programming,515210,515210,515210,515210,513210
1027,Wired Telecommunications Carriers,517311,517110,517110,517110,513310
1028,Wired Telecommunications Carriers,517311,517110,517110,517510,513220
1029,Wired Telecommunications Carriers,517311,517110,517110,518111,514191
1030,All Other Telecommunications,517919,517919,517919,518111,514191
1031,Wireless Telecommunications Carriers (except Satellite),517312,517210,517210,517211,513321
1032,Wireless Telecommunications Carriers (except Satellite),517312,517210,517210,517212,513322
1033,Satellite Telecommunications,517410,517410,517410,517410,513340
1034,Telecommunications Resellers,517911,517911,517911,517310,513330
1035,All Other Telecommunications,517919,517919,517919,517910,513390
1036,"Data Processing, Hosting, and Related Services",518210,518210,518210,518210,514210
1037,News Syndicates,519110,519110,519110,519110,514110
1038,Libraries and Archives,519120,519120,519120,519120,514120
1039,Internet Publishing and Broadcasting and Web Search Portals,519130,519130,519130,516110,511110
1040,Internet Publishing and Broadcasting and Web Search Portals,519130,519130,519130,516110,511120
1041,Internet Publishing and Broadcasting and Web Search Portals,519130,519130,519130,516110,511130
1042,Internet Publishing and Broadcasting and Web Search Portals,519130,519130,519130,516110,511140
1043,Internet Publishing and Broadcasting and Web Search Portals,519130,519130,519130,516110,511191
1044,Internet Publishing and Broadcasting and Web Search Portals,519130,519130,519130,516110,511199
1045,Internet Publishing and Broadcasting and Web Search Portals,519130,519130,519130,516110,514199
1046,Internet Publishing and Broadcasting and Web Search Portals,519130,519130,519130,518112,514199
1047,All Other Information Services,519190,519190,519190,519190,514199
1048,Monetary Authorities-Central Bank,521110,521110,521110,521110,521110
1049,Commercial Banking,522110,522110,522110,522110,522110
1050,Savings Institutions,522120,522120,522120,522120,522120
1051,Credit Unions,522130,522130,522130,522130,522130
1052,Other Depository Credit Intermediation,522190,522190,522190,522190,522190
1053,Credit Card Issuing,522210,522210,522210,522210,522210
1054,Sales Financing,522220,522220,522220,522220,522220
1055,Consumer Lending,522291,522291,522291,522291,522291
1056,Real Estate Credit,522292,522292,522292,522292,522292
1057,International Trade Financing,522293,522293,522293,522293,522293
1058,Secondary Market Financing,522294,522294,522294,522294,522294
1059,All Other Nondepository Credit Intermediation,522298,522298,522298,522298,522298
1060,Mortgage and Nonmortgage Loan Brokers,522310,522310,522310,522310,522310
1061,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",522320,522320,522320,522320,522320
1062,Other Activities Related to Credit Intermediation,522390,522390,522390,522390,522390
1063,Investment Banking and Securities Dealing,523110,523110,523110,523110,523110
1064,Securities Brokerage,523120,523120,523120,523120,523120
1065,Commodity Contracts Dealing,523130,523130,523130,523130,523130
1066,Commodity Contracts Brokerage,523140,523140,523140,523140,523140
1067,Securities and Commodity Exchanges,523210,523210,523210,523210,523210
1068,Miscellaneous Intermediation,523910,523910,523910,523910,523910
1069,Portfolio Management,523920,523920,523920,523920,523920
1070,Investment Advice,523930,523930,523930,523930,523930
1071,"Trust, Fiduciary, and Custody Activities",523991,523991,523991,523991,523991
1072,Miscellaneous Financial Investment Activities,523999,523999,523999,523999,523999
1073,Direct Life Insurance Carriers,524113,524113,524113,524113,524113
1074,Direct Health and Medical Insurance Carriers,524114,524114,524114,524114,524114
1075,Direct Property and Casualty Insurance Carriers,524126,524126,524126,524126,524126
1076,Direct Title Insurance Carriers,524127,524127,524127,524127,524127
1077,"Other Direct Insurance (except Life, Health, and Medical) Carriers",524128,524128,524128,524128,524128
1078,Reinsurance Carriers,524130,524130,524130,524130,524130
1079,Insurance Agencies and Brokerages,524210,524210,524210,524210,524210
1080,Claims Adjusting,524291,524291,524291,524291,524291
1081,Third Party Administration of Insurance and Pension Funds,524292,524292,524292,524292,524292
1082,All Other Insurance Related Activities,524298,524298,524298,524298,524298
1083,Pension Funds,525110,525110,525110,525110,525110
1084,Health and Welfare Funds,525120,525120,525120,525120,525120
1085,Other Insurance Funds,525190,525190,525190,525190,525190
1086,Open-End Investment Funds,525910,525910,525910,525910,525910
1087,"Trusts, Estates, and Agency Accounts",525920,525920,525920,525920,525920
1088,Other Financial Vehicles,525990,525990,525990,525930,525930
1089,Lessors of Residential Buildings and Dwellings,531110,531110,531110,525930,525930
1090,Lessors of Nonresidential Buildings (except Miniwarehouses),531120,531120,531120,525930,525930
1091,Lessors of Miniwarehouses and Self-Storage Units,531130,531130,531130,525930,525930
1092,Lessors of Other Real Estate Property,531190,531190,531190,525930,525930
1093,Other Financial Vehicles,525990,525990,525990,525990,525990
1094,Lessors of Residential Buildings and Dwellings,531110,531110,531110,531110,531110
1095,Lessors of Nonresidential Buildings (except Miniwarehouses),531120,531120,531120,531120,531120
1096,Lessors of Miniwarehouses and Self-Storage Units,531130,531130,531130,531130,531130
1097,Lessors of Other Real Estate Property,531190,531190,531190,531190,531190
1098,Offices of Real Estate Agents and Brokers,531210,531210,531210,531210,531210
1099,Residential Property Managers,531311,531311,531311,531311,531311
1100,Nonresidential Property Managers,531312,531312,531312,531312,531312
1101,Offices of Real Estate Appraisers,531320,531320,531320,531320,531320
1102,Other Activities Related to Real Estate,531390,531390,531390,531390,531390
1103,Passenger Car Rental,532111,532111,532111,532111,532111
1104,Passenger Car Leasing,532112,532112,532112,532112,532112
1105,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",532120,532120,532120,532120,532120
1106,Consumer Electronics and Appliances Rental,532210,532210,532210,532210,532210
1107,Formal Wear and Costume Rental,532281,532220,532220,532220,532220
1108,Video Tape and Disc Rental,532282,532230,532230,532230,532230
1109,Home Health Equipment Rental,532283,532291,532291,532291,532291
1110,Recreational Goods Rental,532284,532292,532292,532292,532292
1111,All Other Consumer Goods Rental,532289,532299,532299,532299,532299
1112,General Rental Centers,532310,532310,532310,532310,532310
1113,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",532411,532411,532411,532411,532411
1114,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",532412,532412,532412,532412,532412
1115,Office Machinery and Equipment Rental and Leasing,532420,532420,532420,532420,532420
1116,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,532490,532490,532490,532490,532490
1117,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),533110,533110,533110,533110,533110
1118,Offices of Lawyers,541110,541110,541110,541110,541110
1119,Offices of Notaries,541120,541120,541120,541120,541120
1120,Title Abstract and Settlement Offices,541191,541191,541191,541191,541191
1121,All Other Legal Services,541199,541199,541199,541199,541199
1122,Offices of Certified Public Accountants,541211,541211,541211,541211,541211
1123,Tax Preparation Services,541213,541213,541213,541213,541213
1124,Payroll Services,541214,541214,541214,541214,541214
1125,Other Accounting Services,541219,541219,541219,541219,541219
1126,Architectural Services,541310,541310,541310,541310,541310
1127,Landscape Architectural Services,541320,541320,541320,541320,541320
1128,Engineering Services,541330,541330,541330,541330,541330
1129,Drafting Services,541340,541340,541340,541340,541340
1130,Building Inspection Services,541350,541350,541350,541350,541350
1131,Geophysical Surveying and Mapping Services,541360,541360,541360,541360,541360
1132,Surveying and Mapping (except Geophysical) Services,541370,541370,541370,541370,541370
1133,Testing Laboratories,541380,541380,541380,541380,541380
1134,Interior Design Services,541410,541410,541410,541410,541410
1135,Industrial Design Services,541420,541420,541420,541420,541420
1136,Graphic Design Services,541430,541430,541430,541430,541430
1137,Other Specialized Design Services,541490,541490,541490,541490,541490
1138,Custom Computer Programming Services,541511,541511,541511,541511,541511
1139,Computer Systems Design Services,541512,541512,541512,541512,541512
1140,Computer Facilities Management Services,541513,541513,541513,541513,541513
1141,Other Computer Related Services,541519,541519,541519,541519,541519
1142,Administrative Management and General Management Consulting Services,541611,541611,541611,541611,541611
1143,Human Resources Consulting Services,541612,541612,541612,541612,541612
1144,Executive Search Services,561312,561312,561312,541612,541612
1145,Marketing Consulting Services,541613,541613,541613,541613,541613
1146,"Process, Physical Distribution, and Logistics Consulting Services",541614,541614,541614,541614,541614
1147,Other Management Consulting Services,541618,541618,541618,541618,541618
1148,Environmental Consulting Services,541620,541620,541620,541620,541620
1149,Other Scientific and Technical Consulting Services,541690,541690,541690,541690,541690
1150,Research and Development in Nanotechnology,541713,541711,541711,541710,541710
1151,Research and Development in Biotechnology (except Nanobiotechnology),541714,541711,541711,541710,541710
1152,Research and Development in Nanotechnology,541713,541712,541712,541710,541710
1153,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",541715,541712,541712,541710,541710
1154,Research and Development in the Social Sciences and Humanities,541720,541720,541720,541720,541720
1155,Advertising Agencies,541810,541810,541810,541810,541810
1156,Public Relations Agencies,541820,541820,541820,541820,541820
1157,Media Buying Agencies,541830,541830,541830,541830,541830
1158,Media Representatives,541840,541840,541840,541840,541840
1159,Outdoor Advertising,541850,541850,541850,541850,541850
1160,Direct Mail Advertising,541860,541860,541860,541860,541860
1161,Advertising Material Distribution Services,541870,541870,541870,541870,541870
1162,Other Services Related to Advertising,541890,541890,541890,541890,541890
1163,Marketing Research and Public Opinion Polling,541910,541910,541910,541910,541910
1164,"Photography Studios, Portrait",541921,541921,541921,541921,541921
1165,Commercial Photography,541922,541922,541922,541922,541922
1166,Translation and Interpretation Services,541930,541930,541930,541930,541930
1167,Veterinary Services,541940,541940,541940,541940,541940
1168,"All Other Professional, Scientific, and Technical Services",541990,541990,541990,541990,541990
1169,Offices of Bank Holding Companies,551111,551111,551111,551111,551111
1170,Offices of Other Holding Companies,551112,551112,551112,551112,551112
1171,"Corporate, Subsidiary, and Regional Managing Offices",551114,551114,551114,551114,551114
1172,Office Administrative Services,561110,561110,561110,561110,561110
1173,Facilities Support Services,561210,561210,561210,561210,561210
1174,Employment Placement Agencies,561311,561311,561311,561310,561310
1175,Temporary Help Services,561320,561320,561320,561320,561320
1176,Professional Employer Organizations,561330,561330,561330,561330,561330
1177,Document Preparation Services,561410,561410,561410,561410,561410
1178,Telephone Answering Services,561421,561421,561421,561421,561421
1179,Telemarketing Bureaus and Other Contact Centers,561422,561422,561422,561422,561422
1180,Private Mail Centers,561431,561431,561431,561431,561431
1181,Other Business Service Centers (including Copy Shops),561439,561439,561439,561439,561439
1182,Collection Agencies,561440,561440,561440,561440,561440
1183,Credit Bureaus,561450,561450,561450,561450,561450
1184,Repossession Services,561491,561491,561491,561491,561491
1185,Court Reporting and Stenotype Services,561492,561492,561492,561492,561492
1186,All Other Business Support Services,561499,561499,561499,561499,561499
1187,Travel Agencies,561510,561510,561510,561510,561510
1188,Tour Operators,561520,561520,561520,561520,561520
1189,Convention and Visitors Bureaus,561591,561591,561591,561591,561591
1190,All Other Travel Arrangement and Reservation Services,561599,561599,561599,561599,561599
1191,Investigation Services,561611,561611,561611,561611,561611
1192,Security Guards and Patrol Services,561612,561612,561612,561612,561612
1193,Armored Car Services,561613,561613,561613,561613,561613
1194,Security Systems Services (except Locksmiths),561621,561621,561621,561621,561621
1195,Locksmiths,561622,561622,561622,561622,561622
1196,Exterminating and Pest Control Services,561710,561710,561710,561710,561710
1197,Janitorial Services,561720,561720,561720,561720,561720
1198,Janitorial Services,561720,561720,561720,561720,561720
1199,Landscaping Services,561730,561730,561730,561730,561730
1200,Carpet and Upholstery Cleaning Services,561740,561740,561740,561740,561740
1201,Other Services to Buildings and Dwellings,561790,561790,561790,561790,561790
1202,Packaging and Labeling Services,561910,561910,561910,561910,561910
1203,Convention and Trade Show Organizers,561920,561920,561920,561920,561920
1204,All Other Support Services,561990,561990,561990,561990,561990
1205,Solid Waste Collection,562111,562111,562111,562111,562111
1206,Hazardous Waste Collection,562112,562112,562112,562112,562112
1207,Other Waste Collection,562119,562119,562119,562119,562119
1208,Hazardous Waste Treatment and Disposal,562211,562211,562211,562211,562211
1209,Solid Waste Landfill,562212,562212,562212,562212,562212
1210,Solid Waste Combustors and Incinerators,562213,562213,562213,562213,562213
1211,Other Nonhazardous Waste Treatment and Disposal,562219,562219,562219,562219,562219
1212,Remediation Services,562910,562910,562910,562910,562910
1213,Materials Recovery Facilities,562920,562920,562920,562920,562920
1214,Septic Tank and Related Services,562991,562991,562991,562991,562991
1215,All Other Miscellaneous Waste Management Services,562998,562998,562998,562998,562998
1216,Elementary and Secondary Schools,611110,611110,611110,611110,611110
1217,Junior Colleges,611210,611210,611210,611210,611210
1218,"Colleges, Universities, and Professional Schools",611310,611310,611310,611310,611310
